STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-06,,3.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-07,,3.6,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-08,,3.4,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-09,,3.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-10,,3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-11,,3.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2020-12,,3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-01,,3.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-02,,4.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-03,,4.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-04,,4.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-05,,5.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-06,,6.1,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-07,,5.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-08,,6.1,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-09,,6,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-10,,6.3,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-11,,6.8,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2021-12,,6.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2022-01,,6.2,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2022-02,,6,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CS(4.0),Consumer opinion surveys,I,USA,United States,M,Monthly,IN,Consumer prices,PB,Percentage balance,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,FT,Future tendency,N,National,2022-03,,8,,A,Normal value,0,Units,2,Two,,
