,Counterfactual #,Feature,Original,Counterfactual
0,1,Annual_Income,29233.34,40388.736287745814
1,1,Num_Bank_Accounts,6,1
2,1,Num_Credit_Card,4,2
3,1,Interest_Rate,17.0,6.8242840466675005
4,1,Num_of_Delayed_Payment,11,3
5,1,Total_EMI_per_month,50.71445531569465,622.8042083495739
6,1,Amount_invested_monthly,232.83089261028897,1880.1639249143182
7,2,Num_Bank_Accounts,6,9
8,2,Num_of_Loan,3,7
9,2,Total_EMI_per_month,50.71445531569465,1696.7411884374364
10,2,Amount_invested_monthly,232.83089261028897,1103.1639598652223
11,2,Total_Debt,770.4800000000005,34620.96178514262
12,2,Monthly_Expenses,283.5453479259836,1248.1380485230582
13,3,Num_Bank_Accounts,6,9
14,3,Num_of_Loan,3,7
15,3,Total_EMI_per_month,50.71445531569465,1696.7411884374364
16,3,Amount_invested_monthly,232.83089261028897,1103.1639598652223
17,3,Total_Debt,770.4800000000005,34620.96178514262
18,3,Monthly_Expenses,283.5453479259836,1248.1380485230582
19,4,Occupation,Mechanic,Journalist
20,4,Num_Credit_Inquiries,5,25
21,4,Credit_Utilization_Ratio,28.26216337344512,35.340327194378666
22,4,Total_EMI_per_month,50.71445531569465,1096.261747347061
23,4,Monthly_Balance,250.16581874068305,1470.6592857427547
24,4,No Data,0.0,1.0
