,Counterfactual #,Feature,Original,Counterfactual
0,1,Occupation,Doctor,Accountant
1,1,Monthly_Inhand_Salary,8595.465,5462.587380404646
2,1,Credit_Mix,Standard,Good
3,1,Outstanding_Debt,462.11,984.5759504527264
4,1,Total_EMI_per_month,224.51078629480077,1104.5091826562248
5,1,unem_category,0.0,3.0
6,2,Occupation,Doctor,Accountant
7,2,Monthly_Inhand_Salary,8595.465,5462.587380404646
8,2,Credit_Mix,Standard,Good
9,2,Outstanding_Debt,462.11,984.5759504527264
10,2,Total_EMI_per_month,224.51078629480077,1104.5091826562248
11,2,unem_category,0.0,3.0
12,2,Monthly_Expenses,1114.9329470231605,1101.6701484467376
13,3,Occupation,Doctor,Accountant
14,3,Monthly_Inhand_Salary,8595.465,5462.587380404646
15,3,Credit_Mix,Standard,Good
16,3,Outstanding_Debt,462.11,984.5759504527264
17,3,Total_EMI_per_month,224.51078629480077,1104.5091826562248
18,3,unem_category,0.0,3.0
19,3,Monthly_Expenses,1114.9329470231605,1101.6701484467376
20,4,Age,42.0,44.75222989376225
21,4,Interest_Rate,5.0,4.38324690516102
22,4,Num_of_Loan,3,7
23,4,Credit_Mix,Standard,Good
24,4,Mortgage Loan,1.0,0.0
25,4,Transaction_Value,Medium,Small
26,4,unem_category,0.0,3.0
27,4,cci_category,0.0,1.0
