,Counterfactual #,Feature,Original,Counterfactual
0,1,Num_of_Delayed_Payment,13,4
1,1,Credit_Utilization_Ratio,30.08041533923621,49.55442506929723
2,1,Total_EMI_per_month,0.0,537.7893356915872
3,2,Total_EMI_per_month,0.0,1719.9021330939559
4,2,Monthly_Balance,385.2228026176783,438.10999264806264
5,2,Monthly_Expenses,53.91582238232172,2402.0909524235144
6,3,Total_EMI_per_month,0.0,1768.5955547853769
7,3,Monthly_Expenses,53.91582238232172,2808.497568412872
8,4,Total_EMI_per_month,0.0,1768.5955547853769
9,4,Monthly_Expenses,53.91582238232172,2808.497568412872
